Time (ms),Iteration 1,Iteration 2,AVG
0,0.025141284,0.026325966,0.025733625
0.0125,-0.141104778,-0.142528191,-0.141816484
0.025,-0.314354691,-0.313519538,-0.313937114
0.0375,-0.212574384,-0.212499183,-0.212536783
0.05,0.060774657,0.061551698,0.061163178
0.0625,0.373447092,0.372428287,0.372937689
0.075,0.62965347,0.62996855,0.62981101
0.0875,0.792362114,0.791483554,0.791922834
0.1,0.853249682,0.852971286,0.853110484
0.1125,0.831588668,0.831175156,0.831381912
0.125,0.74905622,0.748737508,0.748896864
0.1375,0.630429721,0.629610969,0.630020345
0.15,0.494426263,0.492711948,0.493569106
0.1625,0.355900933,0.355005098,0.355453015
0.175,0.224552013,0.223475504,0.224013758
0.1875,0.106249654,0.106666849,0.106458251
0.2,-0.010691784,-0.009876966,-0.010284375
0.2125,0.051904159,0.053169037,0.052536598
0.225,0.156335454,0.155325057,0.155830255
0.2375,0.00733104,0.006380642,0.006855841
0.25,-0.300280765,-0.302461865,-0.301371315
0.2625,-0.636541029,-0.637014371,-0.6367777
0.275,-0.910889842,-0.911861967,-0.911375905
0.2875,-1.085688953,-1.084275367,-1.08498216
0.3,-1.155519073,-1.155450096,-1.155484585
0.3125,-1.139749318,-1.137426442,-1.13858788
0.325,-1.060088874,-1.059075558,-1.059582216
0.3375,-0.941933313,-0.939810492,-0.940871902
0.35,-0.802811032,-0.802666472,-0.802738752
0.3625,-0.659992728,-0.658635646,-0.659314187
0.375,-0.522036435,-0.522075769,-0.522056102
0.3875,-0.397432551,-0.397395156,-0.397413854
0.4,-0.287859185,-0.289362439,-0.288610812
0.4125,-0.195699841,-0.196989503,-0.196344672
0.425,-0.118477617,-0.120691255,-0.119584436
0.4375,-0.056711097,-0.057304079,-0.057007588
0.45,-0.00630485,-0.007641408,-0.006973129
0.4625,0.032839354,0.031793391,0.032316373
0.475,0.062739437,0.061589912,0.062164675
0.4875,0.085298977,0.08419389,0.084746434
0.5,0.101621147,0.100779059,0.101200103
0.5125,0.113996042,0.113212477,0.11360426
0.525,0.122070967,0.123197427,0.122634197
0.5375,0.130036381,0.129661167,0.129848774
0.55,0.134110885,0.134080422,0.134095654
0.5625,0.137058056,0.13690012,0.136979088
0.575,0.137256144,0.138518785,0.137887464
0.5875,0.137523483,0.13826493,0.137894207
0.6,0.136062782,0.137773598,0.13691819
0.6125,0.135028856,0.135958401,0.135493629
0.625,0.132196029,0.133499013,0.132847521
0.6375,0.130435779,0.131358991,0.130897385
0.65,0.127583626,0.129262643,0.128423134
0.6625,0.125628509,0.126202739,0.125915624
0.675,0.122950287,0.123426715,0.123188501
0.6875,0.120950076,0.120691636,0.120820856
0.7,0.118022231,0.118123063,0.118072647
0.7125,0.115664495,0.115581787,0.115623141
0.725,0.112061861,0.112985919,0.11252389
0.7375,0.10955596,0.109639405,0.109597682
0.75,0.106971147,0.107048995,0.107010071
0.7625,0.104652062,0.104832544,0.104742303
0.775,0.101458489,0.101909121,0.101683805
0.7875,0.098012071,0.099946525,0.098979298
0.8,0.09577351,0.097331549,0.096552529
0.8125,0.092971282,0.094473638,0.09372246
0.825,0.09066025,0.091648481,0.091154366
0.8375,0.088490939,0.089270983,0.088880961
0.85,0.086872411,0.086385775,0.086629093
0.8625,0.084833549,0.083931847,0.084382698
0.875,0.084086289,0.082537011,0.08331165
0.8875,0.080992565,0.080317831,0.080655198
0.9,0.079224263,0.079264197,0.07924423
0.9125,0.075901852,0.077893929,0.076897891
0.925,0.075091783,0.07537176,0.075231772
0.9375,0.073297714,0.072715841,0.073006777
0.95,0.071733942,0.071195443,0.071464692
0.9625,0.069577515,0.069759663,0.069668589
0.975,0.068026628,0.068255643,0.068141135
0.9875,0.066168139,0.066222076,0.066195108
1,0.064548001,0.064273128,0.064410565
1.0125,0.062625093,0.061958411,0.062291752
1.025,0.061051659,0.060680949,0.060866304
1.0375,0.059181897,0.058843916,0.059012906
1.05,0.057374944,0.057312599,0.057343772
1.0625,0.055624357,0.055478295,0.055551326
1.075,0.054252232,0.054673058,0.054462645
1.0875,0.053688566,0.052674976,0.053181771
1.1,0.052258464,0.051198252,0.051728358
1.1125,0.051139184,0.04971334,0.050426262
1.125,0.049132531,0.048902643,0.049017587
1.1375,0.048650999,0.047696151,0.048173575
1.15,0.047646063,0.047368597,0.04750733
1.1625,0.046510678,0.046781729,0.046646203
1.175,0.045438101,0.045086636,0.045262368
1.1875,0.04499361,0.043817363,0.044405486
1.2,0.043310664,0.041983059,0.042646861
1.2125,0.042226814,0.040495417,0.041361115
1.225,0.04014608,0.0399686,0.04005734
1.2375,0.039340842,0.038786675,0.039063759
1.25,0.038501785,0.038557387,0.038529586
1.2625,0.038535605,0.038652924,0.038594264
1.275,0.037454976,0.037921386,0.037688181
1.2875,0.037279434,0.037550158,0.037414796
1.3,0.035681843,0.03746008,0.036570962
1.3125,0.034873384,0.0371762,0.036024792
1.325,0.033486765,0.035361003,0.034423884
1.3375,0.032412578,0.034064434,0.033238506
1.35,0.031592847,0.032748758,0.032170802
1.3625,0.031241763,0.032352963,0.031797363
1.375,0.031475282,0.03087078,0.031173031
1.3875,0.030425252,0.030960858,0.030693055
1.4,0.029837429,0.029516889,0.029677159
1.4125,0.028745527,0.029931792,0.029338659
1.425,0.028706875,0.028452338,0.028579607
1.4375,0.027761526,0.028717111,0.028239319
1.45,0.026890259,0.027248576,0.027069418
1.4625,0.026669624,0.027166688,0.026918156
1.475,0.026627752,0.025528916,0.026078334
1.4875,0.025872439,0.025913793,0.025893116
1.5,0.025920753,0.02550162,0.025711187
1.5125,0.025115516,0.026413313,0.025764414
1.525,0.025015666,0.025829174,0.02542242
1.5375,0.024624321,0.025659938,0.02514213
1.55,0.024738665,0.024630872,0.024684768
1.5625,0.024373087,0.024262373,0.02431773
1.575,0.02455346,0.023377977,0.023965718
1.5875,0.023690245,0.022559091,0.023124668
